"emp_no","first_name","last_name","dept_name"
246449,"Subbu","Bultermann","Sales"
205246,"Nevio","Demizu","Sales"
476443,"Ziya","Asmuth","Sales"
424270,"Kellyn","Yoshizawa","Sales"
280408,"Elliott","Perl","Sales"
289261,"Gad","Nollmann","Sales"
217945,"Shmuel","Georg","Sales"
109600,"Xuejun","Chvatal","Sales"
444985,"Giap","Verspoor","Sales"
279661,"Xiadong","Bach","Sales"
268566,"Panayotis","Parveen","Sales"
477628,"Duro","Beutelspacher","Sales"
53312,"Quingbo","Lagarias","Sales"
42625,"Harngdar","Swick","Sales"
85093,"Nectarios","Covnot","Sales"
205366,"Kazuhira","Shimshoni","Sales"
211383,"Uli","Candan","Sales"
37601,"Gilbert","Naumovich","Sales"
437985,"Reuven","Munke","Sales"
28823,"Tonny","Skafidas","Sales"
107258,"Parviz","Zaumen","Sales"
11980,"Yechezkel","Pews","Sales"
457800,"Stabislas","Domenig","Sales"
414537,"Chikara","Businaro","Sales"
414885,"Candido","Vecchi","Sales"
52254,"Yuguang","Nations","Sales"
57730,"Shuichi","Leijenhorst","Sales"
414400,"Stella","Dayang","Sales"
293092,"Baocai","Kroha","Sales"
496429,"Takanari","Luders","Sales"
472397,"Danco","Matzel","Sales"
219797,"Neelam","Demeyer","Sales"
283440,"Leen","Krichel","Sales"
426193,"Huiqun","Rattan","Sales"
93255,"Mihalis","Wegerle","Sales"
210276,"Nidapan","Braunmuhl","Sales"
244316,"Khun","Kuszyk","Sales"
262519,"Jamaludin","Knightly","Sales"
78524,"Zhiwei","Bahk","Sales"
494351,"Boriana","Maginnis","Sales"
488918,"Tamiya","Munos","Sales"
255456,"Aleksandar","Tibblin","Sales"
36372,"Ronghao","Conta","Sales"
451322,"Gadiel","Journel","Sales"
279559,"Jasminko","Cronan","Sales"
421244,"Ortrun","Ladret","Sales"
404690,"Hidde","Morton","Sales"
285589,"Uta","Frolund","Sales"
470413,"Uzi","Poehlman","Sales"
205312,"Arco","Matzat","Sales"
13503,"Renee","Milicia","Sales"
469432,"Arlette","Reeker","Sales"
433062,"Kiam","Erman","Sales"
476968,"Shaleah","Wallrath","Sales"
418656,"Aluzio","Egerstedt","Sales"
432752,"Huai","Birrer","Sales"
451811,"Nalini","Rabehasaina","Sales"
238234,"Bernice","Murtha","Sales"
453362,"Yucel","Parascandalo","Sales"
71064,"Kokou","Genther","Sales"
261707,"Chenye","Gurbaxani","Sales"
80837,"Nigel","Tempesti","Sales"
